fnt	Arial_Narrow_7				
src	https://www.1001freefonts.com/arial-narrow-7.font				
sze	73	79			
spc	2.43				
map	arial_narrow_7.png				
					
Decimal	Symbol	PosX	PosY	Width	Height
0	NUL	0.00	0.00	0.00	0.00
1	SOH	0.00	0.00	0.00	0.00
2	STX	0.00	0.00	0.00	0.00
3	ETX	0.00	0.00	0.00	0.00
4	EOT	0.00	0.00	0.00	0.00
5	ENQ	0.00	0.00	0.00	0.00
6	ACK	0.00	0.00	0.00	0.00
7	BEL	0.00	0.00	0.00	0.00
8	BS	0.00	0.00	0.00	0.00
9	HT	0.00	0.00	0.00	0.00
10	LF	0.00	0.00	0.00	0.00
11	VT	0.00	0.00	0.00	0.00
12	FF	0.00	0.00	0.00	0.00
13	CR	0.00	0.00	0.00	0.00
14	SO	0.00	0.00	0.00	0.00
15	SI	0.00	0.00	0.00	0.00
16	DLE	0.00	0.00	0.00	0.00
17	DC1	0.00	0.00	0.00	0.00
18	DC2	0.00	0.00	0.00	0.00
19	DC3	0.00	0.00	0.00	0.00
20	DC4	0.00	0.00	0.00	0.00
21	NAK	0.00	0.00	0.00	0.00
22	SYN	0.00	0.00	0.00	0.00
23	ETB	0.00	0.00	0.00	0.00
24	CAN	0.00	0.00	0.00	0.00
25	EM	0.00	0.00	0.00	0.00
26	SUB	0.00	0.00	0.00	0.00
27	ESC	0.00	0.00	0.00	0.00
28	FS	0.00	0.00	0.00	0.00
29	GS	0.00	0.00	0.00	0.00
30	RS	0.00	0.00	0.00	0.00
31	US	0.00	0.00	0.00	0.00
32	0	371.00	1.00	73.00	79.00
33	!	519.00	81.00	73.00	79.00
34	""""	593.00	81.00	73.00	79.00
35	#	371.00	81.00	73.00	79.00
36	$	445.00	1.00	73.00	79.00
37	%	1.00	1.00	73.00	79.00
38	&	75.00	1.00	73.00	79.00
39	'	445.00	81.00	73.00	79.00
40	(	223.00	1.00	73.00	79.00
41	)	297.00	1.00	73.00	79.00
42	*	149.00	1.00	73.00	79.00
43	+	0.00	0.00	0.00	0.00
44	","	75.00	81.00	73.00	79.00
45	-	0.00	0.00	0.00	0.00
46	.	1.00	81.00	73.00	79.00
47	/	667.00	81.00	73.00	79.00
48	0	1.00	161.00	73.00	79.00
49	1	75.00	161.00	73.00	79.00
50	2	149.00	161.00	73.00	79.00
51	3	223.00	161.00	73.00	79.00
52	4	297.00	161.00	73.00	79.00
53	5	371.00	161.00	73.00	79.00
54	6	445.00	161.00	73.00	79.00
55	7	519.00	161.00	73.00	79.00
56	8	593.00	161.00	73.00	79.00
57	9	667.00	161.00	73.00	79.00
58	:	223.00	81.00	73.00	79.00
59	;	149.00	81.00	73.00	79.00
60	<	815.00	81.00	73.00	79.00
61	=	0.00	0.00	0.00	0.00
62	>	889.00	81.00	73.00	79.00
63	?	741.00	81.00	73.00	79.00
64	@	297.00	81.00	73.00	79.00
65	A	1.00	481.00	73.00	79.00
66	B	75.00	481.00	73.00	79.00
67	C	149.00	481.00	73.00	79.00
68	D	223.00	481.00	73.00	79.00
69	E	297.00	481.00	73.00	79.00
70	F	371.00	481.00	73.00	79.00
71	G	445.00	481.00	73.00	79.00
72	H	519.00	481.00	73.00	79.00
73	I	593.00	481.00	73.00	79.00
74	J	667.00	481.00	73.00	79.00
75	K	741.00	481.00	73.00	79.00
76	L	815.00	481.00	73.00	79.00
77	M	889.00	481.00	73.00	79.00
78	N	1.00	401.00	73.00	79.00
79	O	75.00	401.00	73.00	79.00
80	P	149.00	401.00	73.00	79.00
81	Q	223.00	401.00	73.00	79.00
82	R	297.00	401.00	73.00	79.00
83	S	371.00	401.00	73.00	79.00
84	T	445.00	401.00	73.00	79.00
85	U	519.00	401.00	73.00	79.00
86	V	593.00	401.00	73.00	79.00
87	W	667.00	401.00	73.00	79.00
88	X	741.00	401.00	73.00	79.00
89	Y	815.00	401.00	73.00	79.00
90	Z	889.00	401.00	73.00	79.00
91	[	0.00	0.00	0.00	0.00
92	\	0.00	0.00	0.00	0.00
93	]	0.00	0.00	0.00	0.00
94	^	0.00	0.00	0.00	0.00
95	_	0.00	0.00	0.00	0.00
96	`	0.00	0.00	0.00	0.00
97	a	1.00	321.00	73.00	79.00
98	b	75.00	321.00	73.00	79.00
99	c	149.00	321.00	73.00	79.00
100	d	223.00	321.00	73.00	79.00
101	e	297.00	321.00	73.00	79.00
102	f	371.00	321.00	73.00	79.00
103	g	445.00	321.00	73.00	79.00
104	h	519.00	321.00	73.00	79.00
105	i	593.00	321.00	73.00	79.00
106	j	667.00	321.00	73.00	79.00
107	k	741.00	321.00	73.00	79.00
108	l	815.00	321.00	73.00	79.00
109	m	889.00	321.00	73.00	79.00
110	n	1.00	241.00	73.00	79.00
111	o	75.00	241.00	73.00	79.00
112	p	149.00	241.00	73.00	79.00
113	q	223.00	241.00	73.00	79.00
114	r	297.00	241.00	73.00	79.00
115	s	371.00	241.00	73.00	79.00
116	t	445.00	241.00	73.00	79.00
117	u	519.00	241.00	73.00	79.00
118	v	593.00	241.00	73.00	79.00
119	w	667.00	241.00	73.00	79.00
120	x	741.00	241.00	73.00	79.00
121	y	815.00	241.00	73.00	79.00
122	z	889.00	241.00	73.00	79.00
123	{	0.00	0.00	0.00	0.00
124	|	0.00	0.00	0.00	0.00
125	}	0.00	0.00	0.00	0.00
126	~	0.00	0.00	0.00	0.00
127	0	0.00	0.00	0.00	0.00
128	€	0.00	0.00	0.00	0.00
129	0	0.00	0.00	0.00	0.00
130	‚	0.00	0.00	0.00	0.00
131	ƒ	0.00	0.00	0.00	0.00
132	„	0.00	0.00	0.00	0.00
133	…	0.00	0.00	0.00	0.00
134	†	0.00	0.00	0.00	0.00
135	‡	0.00	0.00	0.00	0.00
136	ˆ	0.00	0.00	0.00	0.00
137	‰	0.00	0.00	0.00	0.00
138	Š	0.00	0.00	0.00	0.00
139	‹	0.00	0.00	0.00	0.00
140	Œ	0.00	0.00	0.00	0.00
141	0	0.00	0.00	0.00	0.00
142	Ž	0.00	0.00	0.00	0.00
143	0	0.00	0.00	0.00	0.00
144	0	0.00	0.00	0.00	0.00
145	‘	0.00	0.00	0.00	0.00
146	’	0.00	0.00	0.00	0.00
147	“	0.00	0.00	0.00	0.00
148	”	0.00	0.00	0.00	0.00
149	•	0.00	0.00	0.00	0.00
150	–	0.00	0.00	0.00	0.00
151	—	0.00	0.00	0.00	0.00
152	˜	0.00	0.00	0.00	0.00
153	™	0.00	0.00	0.00	0.00
154	š	0.00	0.00	0.00	0.00
155	›	0.00	0.00	0.00	0.00
156	œ	0.00	0.00	0.00	0.00
157	0	0.00	0.00	0.00	0.00
158	ž	0.00	0.00	0.00	0.00
159	Ÿ	0.00	0.00	0.00	0.00
160	0	0.00	0.00	0.00	0.00
161	¡	0.00	0.00	0.00	0.00
162	¢	0.00	0.00	0.00	0.00
163	£	0.00	0.00	0.00	0.00
164	¤	0.00	0.00	0.00	0.00
165	¥	0.00	0.00	0.00	0.00
166	¦	0.00	0.00	0.00	0.00
167	§	0.00	0.00	0.00	0.00
168	¨	0.00	0.00	0.00	0.00
169	©	0.00	0.00	0.00	0.00
170	ª	0.00	0.00	0.00	0.00
171	«	0.00	0.00	0.00	0.00
172	¬	0.00	0.00	0.00	0.00
173	­	0.00	0.00	0.00	0.00
174	®	0.00	0.00	0.00	0.00
175	¯	0.00	0.00	0.00	0.00
176	°	0.00	0.00	0.00	0.00
177	±	0.00	0.00	0.00	0.00
178	²	0.00	0.00	0.00	0.00
179	³	0.00	0.00	0.00	0.00
180	´	0.00	0.00	0.00	0.00
181	µ	0.00	0.00	0.00	0.00
182	¶	0.00	0.00	0.00	0.00
183	·	0.00	0.00	0.00	0.00
184	¸	0.00	0.00	0.00	0.00
185	¹	0.00	0.00	0.00	0.00
186	º	0.00	0.00	0.00	0.00
187	»	0.00	0.00	0.00	0.00
188	¼	0.00	0.00	0.00	0.00
189	½	0.00	0.00	0.00	0.00
190	¾	0.00	0.00	0.00	0.00
191	¿	0.00	0.00	0.00	0.00
192	À	0.00	0.00	0.00	0.00
193	Á	0.00	0.00	0.00	0.00
194	Â	0.00	0.00	0.00	0.00
195	Ã	0.00	0.00	0.00	0.00
196	Ä	0.00	0.00	0.00	0.00
197	Å	0.00	0.00	0.00	0.00
198	Æ	0.00	0.00	0.00	0.00
199	Ç	0.00	0.00	0.00	0.00
200	È	0.00	0.00	0.00	0.00
201	É	0.00	0.00	0.00	0.00
202	Ê	0.00	0.00	0.00	0.00
203	Ë	0.00	0.00	0.00	0.00
204	Ì	0.00	0.00	0.00	0.00
205	Í	0.00	0.00	0.00	0.00
206	Î	0.00	0.00	0.00	0.00
207	Ï	0.00	0.00	0.00	0.00
208	Ð	0.00	0.00	0.00	0.00
209	Ñ	0.00	0.00	0.00	0.00
210	Ò	0.00	0.00	0.00	0.00
211	Ó	0.00	0.00	0.00	0.00
212	Ô	0.00	0.00	0.00	0.00
