Enabled	25								
Number	Type	PositionX	PositionY	PositionZ	ColorRed	ColorGreen	ColorBlue	Attenuation	Shininess
0	1	32.54197175	194.8959227	-6.469530375	0.521568627	0.333333333	0.615686275	0.001404494	94.26351487
1	3	117.5682183	-112.512967	8.360382889	0.019607843	0.121568627	0.278431373	0.003003003	180.7934855
2	2	-119.200692	-163.7287711	0.091685528	0.51372549	0.847058824	0.435294118	0.001605136	231.0549477
3	3	-133.5578243	-195.6684331	5.730433553	0.474509804	0.419607843	0.074509804	0.001557632	224.3518985
4	2	142.9792897	-21.62217406	-2.100890686	0.329411765	0.854901961	0.568627451	0.004950495	234.7699996
5	1	-33.33709873	192.2870083	1.432479781	0.062745098	0.529411765	0.070588235	0.001934236	169.2467805
6	2	-181.9535363	189.9950324	3.347479397	0.960784314	0.4	0.258823529	0.002645503	29.64449341
7	2	60.55641712	-148.6110537	10.98005632	0.294117647	0.670588235	0.992156863	0.00140647	203.3556574
8	2	-67.97191549	-91.73582513	0.217825524	0.098039216	0.235294118	0.690196078	0.00462963	89.1545971
9	1	181.8785572	169.248513	6.235445077	0.835294118	0.407843137	0.215686275	0.001808318	205.3594452
10	3	8.018357072	-157.9590334	-3.919034071	0.690196078	0.356862745	0.603921569	0.003278689	238.7074906
11	1	113.5994873	-134.8711141	-3.631214407	0.392156863	0.666666667	0.964705882	0.00127551	98.13388619
12	1	79.30499505	-91.49116589	4.181288257	0.184313725	0.152941176	0.839215686	0.006622517	220.9656034
13	3	184.9185151	-7.924417248	6.441037733	0.094117647	0.207843137	0.768627451	0.0013947	88.13064744
14	2	172.4120974	77.2547512	3.137131311	0.854901961	0.854901961	0.474509804	0.005780347	37.40483294
15	2	-140.879736	-92.1137287	6.778571644	0.282352941	0.721568627	0.988235294	0.00140647	30.89470482
16	3	157.9705972	-193.5726462	-1.05807185	0.062745098	0.996078431	0.301960784	0.003115265	172.1890475
17	1	-175.0377904	-41.12193644	0.74859974	0.22745098	0.254901961	0.337254902	0.001267427	242.8538412
18	1	137.6480403	12.04743264	-4.535574785	0.403921569	0.325490196	0.474509804	0.005747126	43.92476221
19	2	148.4700919	13.9080947	-9.85248847	0.152941176	0.88627451	0.619607843	0.00120919	6.59574893
20	1	-38.92944238	143.273911	-0.001358405	0.043137255	0.776470588	0.450980392	0.004587156	89.50761292
21	2	-9.100535449	-19.61096125	1.88157429	0.635294118	0.156862745	0.721568627	0.001053741	29.81568592
22	3	-111.9510916	25.90729881	0.793508242	0.37254902	0.098039216	0.501960784	0.003703704	204.4106431
23	1	9.181257511	-96.25872872	7.061898067	0.42745098	0.419607843	0.784313725	0.001028807	86.19743323
24	1	188.7560226	98.88779196	-0.194033196	0.494117647	0.97254902	0.090196078	0.001776199	104.5751836
