Enabled	25							
Number	PositionX	PositionY	PositionZ	ColorRed	ColorGreen	ColorBlue	Attenuation	Shininess
0	-16.8730978	-110.6541654	-8.009974636	0.678431373	0.137254902	0.729411765	0.001111111	75.29988802
1	-20.59480605	71.14159739	2.469183261	0.431372549	0.380392157	0.505882353	0.001092896	14.41331969
2	173.2016823	-83.8946876	-8.559798494	0.898039216	0.031372549	0.784313725	0.001675042	24.70624488
3	129.8713989	-15.93771581	-0.601531732	0.62745098	0.768627451	0.384313725	0.002212389	249.84809
4	28.24359699	146.8712763	8.522816657	0.756862745	0.780392157	0.952941176	0.009803922	145.988501
5	6.351887645	47.86987225	6.988421301	0.176470588	0.11372549	0.082352941	0.001033058	156.0024795
6	180.0880119	-158.3142984	5.115829529	0.321568627	0.674509804	0.956862745	0.006666667	1.158607705
7	-58.45716847	-24.93402966	0.676981944	0.349019608	0.160784314	0.521568627	0.003610108	226.1615121
8	71.94547258	94.41280839	-9.356608658	0.31372549	0.996078431	0.51372549	0.00390625	2.784061278
9	-1.447844695	65.62447528	-1.700044313	0.792156863	0.701960784	0.670588235	0.002493766	13.34882676
10	144.4698965	156.5032135	-8.286818309	0.443137255	0.505882353	0.749019608	0.003861004	85.82223483
11	-45.12632948	-102.3108248	6.81236295	0.631372549	0.62745098	0.560784314	0.001706485	67.43126244
12	56.23785831	-33.36923429	3.574809114	0.670588235	0.28627451	0.125490196	0.002525253	193.238512
13	135.1980728	-190.1638728	-6.383698068	0.203921569	0.694117647	0.88627451	0.003558719	159.3436499
14	-137.2973424	-61.42757902	7.218444548	0.858823529	0.4	0.576470588	0.003861004	216.0414714
15	135.6715139	78.27915836	8.855399178	0.341176471	0.168627451	0.698039216	0.003460208	158.1989948
16	185.1175138	60.10946669	5.861112134	0.560784314	0.698039216	0.976470588	0.001157407	159.464084
17	-127.7229596	171.306712	5.651157893	0.019607843	0.262745098	0.635294118	0.001037344	223.7455865
18	125.3610192	-121.4568245	-1.297618679	0.698039216	0.564705882	0.407843137	0.001051525	93.43617325
19	184.1199279	-125.7864332	-6.628763998	0.368627451	0.207843137	0.611764706	0.002242152	116.2428422
20	-88.67418183	109.0455641	-8.927137151	0.749019608	0.929411765	0.278431373	0.004237288	50.73610039
21	19.99709561	-150.0256695	-1.005670716	0.898039216	0.145098039	0.850980392	0.001109878	109.3079855
22	-44.39006094	134.619521	-3.63039055	0.71372549	0.043137255	0.662745098	0.00137741	136.6737936
23	140.5482316	-82.50723122	0.766815511	0.776470588	0.980392157	0.6	0.001953125	134.2878602
24	-53.54753868	22.71657669	2.905798702	0.384313725	0.933333333	0.396078431	0.004975124	99.52516854
25	-114.4266618	-70.52201873	5.644174832	0.266666667	0.090196078	0.976470588	0.006666667	94.5891693
